Published Date,Project Type,Project Type Name,Budget Line,Budget Line Title,Funding Type,First Fiscal Year,Fiscal Year 1 Amount,Fiscal Year 2 Amount,Fiscal Year 3 Amount,Fiscal Year 4 Amount
20180201,AG,DEPARTMENT FOR THE AGING,AG 0001,"IMPROVEMENTS TO PROPERTY USED BY DEPARTMENT FOR THE AGING, CITYWIDE",C,2019,3306783,3479000,2178000,1253000
20180201,AG,DEPARTMENT FOR THE AGING,AG 0002,"PURCHASE OF AUTOS, COMPUTERS, OTHER EQUIP FOR THE AGING, CITYWIDE",C,2019,0,2342111,1403000,0
20180201,AG,DEPARTMENT FOR THE AGING,AG MN235,"LENOX HILL NEIGHBORHOOD HOUSE, INC.",C,2019,50000,0,0,0
20180201,BR,WATERWAY BRIDGES,BR 0231,"QUEENSBORO BRIDGE, REHABILITATION",C,2019,141151222,0,0,0
20180201,BR,WATERWAY BRIDGES,BR 0253,RECONSTRUCTION OF WILLIAMSBURG BRIDGE,C,2019,0,0,273760919,0
20180201,BR,WATERWAY BRIDGES,BR 0270,REHABILITATION OF BROOKLYN BRIDGE,C,2019,289984124,0,0,15000000
20180201,BR,WATERWAY BRIDGES,BR 0287,RECONSTRUCTION: MACOMBS DAM BRIDGE OVER HARLEM RIVER,C,2019,0,93499,0,0
20180201,C,CORRECTION,C  0075,"CORRECTION FACILITIES, CONSTRUCTION, RECONS & IMPROVEMENTS, CITYWIDE",C,2019,134751470,23330000,41300000,49384000
20180201,C,CORRECTION,C  0101,"SECURITY SYSTEMS, VARIOUS FACILITIES",C,2019,0,0,1649995,0
20180201,C,CORRECTION,C  0112,PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF CORRECTION,C,2019,4160367,4277000,3761000,3599000
20180201,C,CORRECTION,C  0114,"ACQUISITION, CONSTR., ETC. SUPPLEMENTARY HOUS. PROG. AND SUPPORT FACIL",C,2019,82877375,0,0,0
20180201,C,CORRECTION,C  0117,"PURCHASE OF COMPUTER EQUIPMENT, ALL FACILITIES",C,2019,343871,0,4000000,3300000
20180201,C,CORRECTION,C  0136,CORRECTION INDUSTRIES FACILITIES AND SUPPORT,C,2019,449000,0,0,0
